Short_reference,Publication_year,Title,DOI,Journal,Taxonomic_group,Climate_change_stressor,Life_stage_exposed,Life_stage_tested,Trait_category,Trait_details,Additional_comments
Nett_et_al_2019,2019,Defects in mating behavior and tail morphology are the primary cause of sterility in Caenorhabditis elegans males at high temperature,10.1242/jeb.208041,Journal of Experimental Biology,Other invertebrate,Temperature,Mix (strictly after hatching),"Larvae or juveniles, Adults",Reproduction,sperm count; sperm activation; sperm transfer,NA
Kushinsky_et_al_2019,2019,In vivo effects of temperature on the heart and pyloric rhythms in the crab Cancer borealis,10.1242/jeb.199190,Journal of Experimental Biology,Other invertebrate,Temperature,Adults,Adults,Cardiovascular physiology,heart rate; pyloric rhythm frequency,NA
Dichiera_et_al_2022,2022,The role of carbonic anhydrase-mediated tissue oxygen extraction in a marine teleost acclimated to hypoxia,10.1242/jeb.244474,Journal of Experimental Biology,Fish,O₂/CO₂,Mix (strictly after hatching),"Larvae or juveniles, Adults",Energetics and metabolism,carbonic anhydrase protein quantity; carbonic anhydrase activity; oxygen consumption; Maximum metabolic rate; Standard metabolic rate; Absolute aerobic scope; Factorial aerobic scope,NA
McArley_et_al_2021,2021,"Normoxic limitation of maximal oxygen consumption rate, aerobic scope and cardiac performance in exhaustively exercised rainbow trout (Oncorhynchus mykiss)   Abstract",10.1242/jeb.242614,Journal of Experimental Biology,Fish,O₂/CO₂,Adults,Adults,Cardiovascular physiology,haematological variables; venous blood pH; plasma lactate; plasma osmolality; maximum O2 consumption rate; cardiac output; heart rate; stroke volume; arterio-venous oxygen content difference,NA
Han_et_al_2022,2022,Cardiac performance and heat shock response variation related to shell colour morphs in the mudflat snail Batillaria attramentaria,10.1242/jeb.244796,Journal of Experimental Biology,Other invertebrate,Temperature,Adults,Adults,"Environmental tolerance and preference, Cardiovascular physiology",Survival; Cardiac thermal performance; breakpoint temperature; maximum heart rate,NA
Borowiec_et_al_2020,2020,Interspecific variation in hypoxia tolerance and hypoxia acclimation responses in killifish from the family Fundulidae,10.1242/jeb.209692,Journal of Experimental Biology,Fish,O₂/CO₂,Adults,Adults,"Environmental tolerance and preference, Energetics and metabolism",rate of O2 consumption; critical O2 tension; PO2 at loss of equilibrium; tolerance to hypoxia,NA
Logan_et_al_2020,2020,The brains of six African mole-rat species show divergent responses to hypoxia,10.1242/jeb.215905,Journal of Experimental Biology,Mammal,O₂/CO₂,Adults,Adults,Immune function and stress physiology,Antioxidant capacity; Hypoxia-inducible factor level; the level of miRNA,NA
Heuton_et_al_2015,2015,Paradoxical anaerobism in desert pupfish,10.1242/jeb.130633,Journal of Experimental Biology,Fish,Temperature,Adults,Adults,"Energetics and metabolism, Environmental tolerance and preference",oxygen consumption; amount of ethanol; ventilation rate; Skeletal muscle lactate concentration; Survival of anoxia,NA
Brown_et_al_2013,2013,Regulation of succinate-fuelled mitochondrial respiration in liver and skeletal muscle of hibernating thirteen-lined ground squirrels,10.1242/jeb.078519,Journal of Experimental Biology,Mammal,Temperature,Adults,Adults,Energetics and metabolism,respiration rate; Succinate dehydrogenase activity; oxaloacetate affinity,NA
Gerber_et_al_2019,2019,"Cardiac mitochondrial function, nitric oxide sensitivity and lipid composition following hypoxia acclimation in sablefish",10.1242/jeb.208074,Journal of Experimental Biology,Fish,O₂/CO₂,Adults,Adults,"Energetics and metabolism, Immune function and stress physiology",ROS release rates;Mitochondrial respiratory control; oxygen affinity; catalytic and OXPHOS efficiency; superoxide dismutase (SOD) and citrate synthase (CS) activities; partial pressure of oxygen; respiratory control ratio; NO release rate; Uncoupled respiration,NA
