Short_reference,Publication_year,Title,DOI,Journal,Taxonomic_group,Climate_change_stressor,Life_stage_exposed,Life_stage_tested,Trait_category,Trait_details,Additional_comments
Clutton_et_al_2021,2021,Early developmental stages of native populations of Ciona intestinalis under increased temperature are affected by local habitat history,10.1242/jeb.233403,Journal of Experimental Biology,Other invertebrate,Temperature,Mix (before and after hatching),"Embryos, Larvae or juveniles","Cardiovascular physiology, Development",fertilization rate; embryo development; larval development; settlement; metamorphosis success; juvenile heart rate,NA
van Jaarsveld_et_al_2021,2021,How hornbills handle heat: sex-specific thermoregulation in the southern yellow-billed hornbill,10.1242/jeb.232777,Journal of Experimental Biology,Bird,Temperature,Adults,Adults,"Environmental tolerance and preference, Energetics and metabolism, Osmoregulation",resting metabolic rate; evaporative water loss; core body temperature; evaporative cooling efficiencies; heat tolerance limits,NA
Reemeyer_and_Rees_2020,2020,"Plasticity, repeatability and phenotypic correlations of aerobic metabolic traits in a small estuarine fish",10.1242/jeb.228098,Journal of Experimental Biology,Fish,"Temperature, Salinity, O₂/CO₂",Adults,Adults,Energetics and metabolism,standard metabolic rate; maximum metabolic rate; absolute aerobic scope; critical oxygen tension,NA
Cooper_et_al_2020,2020,Does control of insensible evaporative water loss by two species of mesic parrot have a thermoregulatory role?,10.1242/jeb.229930,Journal of Experimental Biology,Bird,"Temperature, Humidity/Water availability",Adults,Adults,"Environmental tolerance and preference, Energetics and metabolism, Osmoregulation",evaporative water loss; water vapour deficit; body temperature; metabolic rate; wet thermal conductance; dry thermal conductance; respiratory frequency; tidal volume; minute volume; oxygen extraction,NA
Bas_et_al_2022,2022,Decapod egg membranes: powerful barriers or regulatory structures?,10.1242/jeb.244165,Journal of Experimental Biology,Other invertebrate,Salinity,Mix (before and after hatching),"Embryos, Larvae or juveniles","Environmental tolerance and preference, Osmoregulation",survival; egg volume change; osmolality,NA
Hermaniuk_et_al_2021,2021,Are acute and acclimated thermal effects on metabolic rate modulated by cell size? A comparison between diploid and triploid zebrafish larvae,10.1242/jeb.227124,Journal of Experimental Biology,Fish,Temperature,Mix (before and after hatching),Larvae or juveniles,Energetics and metabolism,routine metabolic rate; oxyregulatory capacity; Pcrit;,NA
Malison_et_al_2022,2022,Plasticity of salmonfly (Pteronarcys californica) respiratory phenotypes in response to changes in temperature and oxygen,10.1242/jeb.244253,Journal of Experimental Biology,Insect,"Temperature, O₂/CO₂",Larvae or juveniles,Larvae or juveniles,"Environmental tolerance and preference, Energetics and metabolism, Development",survival; growth rate; critical thermal maximum; metabolic rate; gill morphology,NA
Young_et_al_2013,2013,Each to their own: skeletal muscles of different function use different biochemical strategies during aestivation at high temperature,10.1242/jeb.072827,Journal of Experimental Biology,Amphibian,Temperature,Adults,Adults,"Environmental tolerance and preference, Immune function and stress physiology",total antioxidant capacity; superoxide scavenging capacity; heat shock protein 70; protein oxidation; lipid oxidation,NA
Yi_and_Lee_2016,2016,"Cold-hardening during long-term acclimation in a freeze-tolerant woolly bear caterpillar, Pyrrharctia isabella",10.1242/jeb.124875,Journal of Experimental Biology,Insect,Temperature,Adults,Adults,"Environmental tolerance and preference, Osmoregulation",survival rate; hemolymph pH; osmolality; cholesterol level; free amino acid concentration; total amino acid concentration; protein concentration; cellular viability of the foregut epithelium,NA
Sun_et_al_2018,2018,"Effect of water temperature on diel feeding, locomotion behaviour and digestive physiology in the sea cucumber Apostichopus japonicus",10.1242/jeb.177451,Journal of Experimental Biology,Other invertebrate,Temperature,Adults,Adults,Energetics and metabolism,feeding rhythm; tentacle locomotion during feeding; ingestion rate; lipase activity; amylase activity,NA
Stier_et_al_2017,2017,Oxidative stress in a capital breeder (Vipera aspis) facing pregnancy and water constraints,10.1242/jeb.156752,Journal of Experimental Biology,Reptile,Humidity/Water availability,Adults,Adults,Immune function and stress physiology,oxidative stress markers of red blood cells; plasma non-enzymatic antioxidant capacity; total glutathione; oxidised glutathione; glutathione peroxidase antioxidant activity; superoxide dismutase antioxidant activity; plasma protein carbonyl content,NA
Stier_et_al_2014,2014,Mitochondrial uncoupling prevents cold-induced oxidative stress: a case study using UCP1 knockout mice,10.1242/jeb.092700,Journal of Experimental Biology,Mammal,Temperature,Adults,Adults,"Energetics and metabolism, Immune function and stress physiology",oxygen consumption; reactive oxygen metabolites; tissue glutathione content; tissue proportion of oxidized glutathione; oxidative damage of tissue protein,NA
Stager_et_al_2015,2015,Regulatory mechanisms of metabolic flexibility in the dark-eyed junco (Junco hyemalis),10.1242/jeb.113472,Journal of Experimental Biology,Bird,"Temperature, Interaction with non-climatic stressor",Adults,Adults,Energetics and metabolism,summit metabolic rate; cloacal temperature; body mass; pectoralis muscle transcriptomes; metabolic enzymes activity;,NA
Sprenger_et_al_2018,2018,Coping with the climate: cuticular hydrocarbon acclimation of ants under constant and fluctuating conditions,10.1242/jeb.171488,Journal of Experimental Biology,Insect,"Temperature, Humidity/Water availability",Adults,Adults,"Environmental tolerance and preference, Osmoregulation","cuticular hydrocarbon composition; absolute cuticular hydrocarbon amount; survival, cuticular hydrocarbon viscosity",NA
Snelling_et_al_2017,2017,Flight metabolic rate of Locusta migratoria in relation to oxygen partial pressure in atmospheres of varying diffusivity and density,10.1242/jeb.168187,Journal of Experimental Biology,Insect,O₂/CO₂,Adults,Adults,"Energetics and metabolism, Development",flight metabolic rate; body mass;,NA
Putnam_and_Gates_2015,2015,Preconditioning in the reef-building coral Pocillopora damicornis and the potential for trans-generational acclimatization in coral larvae under future climate change conditions,10.1242/jeb.123018,Journal of Experimental Biology,Other invertebrate,"Temperature, pH","Adults, Mix (before and after hatching)","Larvae or juveniles, Adults","Energetics and metabolism, Development",photochemical efficiency; photosynthetic rate; dark respiration rate; calcification rate; larval size,NA
Przybylska_et_al_2017,2017,Specialist-generalist model of body temperature regulation can be applied at the intraspecific level,10.1242/jeb.160150,Journal of Experimental Biology,Mammal,"Temperature, Interaction with non-climatic stressor",Adults,Adults,"Environmental tolerance and preference, Energetics and metabolism",body temperature; metabolic rate; heterothermy index,NA
Rowsey_et_al_2024,2024,Thermal constraints on exercise and metabolic performance do not explain the use of dormancy as an overwintering strategy in the cunner (Tautogolabrus adspersus),10.1242/jeb.246741,Journal of Experimental Biology,Fish,Temperature,Larvae or juveniles,Larvae or juveniles,"Environmental tolerance and preference, Energetics and metabolism",standard metabolic rate; maximum metabolic rate; absolute aerobic scope; post-exercise oxygen consumption; white muscle metabolic enzyme activities;,NA
Powell_and_Burgess_2024,2024,How modularity and heterotrophy complicate the understanding of the causes of thermal performance curves: the case of feeding rate in a filter-feeding animal,10.1242/jeb.247776,Journal of Experimental Biology,Other invertebrate,Temperature,Adults,Adults,"Environmental tolerance and preference, Energetics and metabolism, Development",clearance rate; colony size; proportion of dead zooids; proportion of zooids capable of feeding; proportion of regressed zooids,NA
Lonthair_et_al_2024,2024,Smaller body size under warming is not due to gill-oxygen limitation in a cold-water salmonid,10.1242/jeb.246477,Journal of Experimental Biology,Fish,Temperature,Mix (strictly after hatching),"Larvae or juveniles, Adults","Environmental tolerance and preference, Energetics and metabolism, Immune function and stress physiology",resting metabolic rate; maximum metabolic rate; aerobic scope; Q10; mass; fork length; total length; cortisol; Pcrit,NA
Ratz_et_al_2024,2024,Heatwaves inflict reproductive but not survival costs to male insects,10.1242/jeb.246698,Journal of Experimental Biology,Insect,Temperature,Adults,Adults,"Environmental tolerance and preference, Reproduction, Development",body mass; survival; number of offspring produced,NA
Dowd_and_Somero_2023,2023,Oxidative stress effects are not correlated with differences in heat tolerance among congeners of Mytilus,10.1242/jeb.246033,Journal of Experimental Biology,Other invertebrate,Temperature,Adults,Adults,Immune function and stress physiology,catalase antioxidant enzyme activity; superoxide dismutase antioxidant enzyme activity; lipid oxidative damage; DNA oxidative damage; protein abundance; protein oxidative damage,NA
Bouyoucos_et_al_2023,2023,Physiological responses to acute warming at the agitation temperature in a temperate shark,10.1242/jeb.246304,Journal of Experimental Biology,Fish,Temperature,Adults,Adults,"Environmental tolerance and preference, Energetics and metabolism, Cardiovascular physiology",CTmax; agitation temperature; Arrhenius breakpoint temperature; temperature of peak heart rate; intracellular pH; haematocrit; potassium ion concentration; lactate concentration; citrate synthase activity; lactate dehydrogenase activity; hsp70; hif1α,NA
Moura_et_al_2023,2023,Hyposalinity reduces coordination and adhesion of sea urchin tube feet,10.1242/jeb.245750,Journal of Experimental Biology,Other invertebrate,Salinity,Adults,Adults,Environmental tolerance and preference,righting response; disc tenacity,NA
Chabaud_et_al_2023,2023,Prey consumption does not restore hydration state but mitigates the energetic costs of water deprivation in an insectivorous lizard,10.1242/jeb.246129,Journal of Experimental Biology,Reptile,"Interaction with non-climatic stressor, Humidity/Water availability",Adults,Adults,"Energetics and metabolism, Osmoregulation",osmolality; body mass; plasma triglyceride concentration; plasma β-HB concentrations; glucose concentrations; food consumption,NA
McNab_and_Weston_2020,2020,Does the New Zealand rockwren (Xenicus gilviventris) hibernate?,10.1242/jeb.212126,Journal of Experimental Biology,Bird,Temperature,Adults,Adults,"Environmental tolerance and preference, Energetics and metabolism",oxygen consumption; body temperature,NA
Dixon_et_al_2023,2023,Taurine depletion impairs cardiac function and affects tolerance to hypoxia and high temperatures in brook char (Salvelinus fontinalis),10.1242/jeb.245092,Journal of Experimental Biology,Fish,"Temperature, O₂/CO₂, Interaction with non-climatic stressor",Adults,Adults,"Environmental tolerance and preference, Energetics and metabolism, Osmoregulation, Cardiovascular physiology",plasma osmolality; hemoglobin concentration;  acute hypoxia tolerance; CTmax; resting heart rate; Arrhenius breakpoint temperature; cardiac output; mitochondrial respiration; plasma lactate; heart malondialdehyde concentration,NA
Rozsypal_et_al_2018,2018,Thermal analysis of ice and glass transitions in insects that do and do not survive freezing,10.1242/jeb.170464,Journal of Experimental Biology,Insect,Temperature,Larvae or juveniles,Larvae or juveniles,"Environmental tolerance and preference, Osmoregulation",survival; ice fraction; total body water content; amount of unfreezable osmotically inactive water; metabolites; proline content; glutamine content; trehalose content; temperature of de-vitrification; frequency of occurrence of the de-glassing transition,NA
Ern_et_al_2016,2016,Oxygen dependence of upper thermal limits in fishes,10.1242/jeb.143495,Journal of Experimental Biology,Fish,"Temperature, O₂/CO₂",Adults,Adults,"Environmental tolerance and preference, Energetics and metabolism",standard metabolic rate; maximum metabolic rate; aerobic scope; Pcrit; CTmax,NA
Noakes_and_McKechnie_2020,2020,Phenotypic flexibility of metabolic rate and evaporative water loss does not vary across a climatic gradient in an Afrotropical passerine bird,10.1242/jeb.220137,Journal of Experimental Biology,Bird,Temperature,Adults,Adults,"Environmental tolerance and preference, Energetics and metabolism",core body temperature; basal metabolic rate; evaporative water loss; body mass; summit metabolism; cold limit; metabolic expansibility,NA
Senzano_and_Andrade_2018,2018,"Temperature and dehydration effects on metabolism, water uptake and the partitioning between respiratory and cutaneous evaporative water loss in a terrestrial toad",10.1242/jeb.188482,Journal of Experimental Biology,Reptile,"Temperature, Humidity/Water availability",Adults,Adults,"Osmoregulation, Development",cutaneous evaporative water loss; plasma osmolality; hematocrit; body mass,NA
Moreno Azocar_et_al_2016,2016,Effect of body mass and melanism on heat balance in Liolaemus lizards of the goetschi clade,10.1242/jeb.129007,Journal of Experimental Biology,Reptile,Temperature,Adults,Adults,Environmental tolerance and preference,radiation heating thermal time constants; conduction heating thermal time constants; cooling rates;,NA
Cavieres_et_al_2017,2017,Early life experience drives short-term acclimation of metabolic and osmoregulatory traits in the leaf-eared mouse,10.1242/jeb.149997,Journal of Experimental Biology,Mammal,"Temperature, Humidity/Water availability",Larvae or juveniles,Larvae or juveniles,"Energetics and metabolism, Osmoregulation, Development",basal metabolic rate; citrate synthase activity; cytochrome c oxidase activity; body mass; total evaporative water loss; urine concentrating ability,NA
Rodgers_and_Franklin_2017,2017,Physiological mechanisms constraining ectotherm fright-dive performance at elevated temperatures,10.1242/jeb.155440,Journal of Experimental Biology,Reptile,Temperature,Larvae or juveniles,Larvae or juveniles,"Energetics and metabolism, Cardiovascular physiology",haematocrit; hemoglobin concentration; heart rates; metabolic rate;,NA
Sakich_and_Tattersall_2021,2021,Bearded dragons (Pogona vitticeps) with reduced scalation lose water faster but do not have substantially different thermal preferences,10.1242/jeb.234427,Journal of Experimental Biology,Reptile,Temperature,Adults,Adults,Environmental tolerance and preference,Temperature chosen in a thermal gradient,NA
Maier_et_al_2016,2016,Effects of elevated pCO2 and feeding on net calcification and energy budget of the Mediterranean cold-water coral Madrepora oculata,10.1242/jeb.127159,Journal of Experimental Biology,Other invertebrate,"pH, Interaction with non-climatic stressor",Adults,Adults,"Energetics and metabolism, Osmoregulation",net calcification; respiration; total organic carbon dynamics; respiratory quotient; feeding rate,NA
Faulkner_et_al_2018,2018,Effects of chronic exposure to 12parts per thousand saltwater on the endocrine physiology of juvenile American alligator (Alligator mississippiensis),10.1242/jeb.181172,Journal of Experimental Biology,Reptile,Salinity,Larvae or juveniles,Larvae or juveniles,"Osmoregulation, Immune function and stress physiology, Development",food intake rate; body mass; plasma biochemistry parameters; plasma levels of angiotensin II; plasma levels of aldosterone; plasma steroid hormones,NA
Pan_et_al_2021,2021,Differing thermal sensitivities of physiological processes alter ATP allocation,10.1242/jeb.233379,Journal of Experimental Biology,Other invertebrate,Temperature,Larvae or juveniles,Larvae or juveniles,"Environmental tolerance and preference, Energetics and metabolism",growth; survival; respiration rates; protein synthesis; glycine transport; ion transport by Na+/K+-ATPase;,NA
Santin_and_Hartzler_2016,2016,"Control of lung ventilation following overwintering conditions in bullfrogs, Lithobates catesbeianus",10.1242/jeb.246227,Journal of Experimental Biology,Amphibian,"Temperature, O₂/CO₂, Interaction with non-climatic stressor",Adults,Adults,Energetics and metabolism,resting oxygen consumption rate; rate of carbon dioxide production; breathing frequency; tidal volume; air convection requirement,NA
Verhagen_et_al_2020,2020,Temperature has a causal and plastic effect on timing of breeding in a small songbird,10.1242/jeb.218784,Journal of Experimental Biology,Bird,Temperature,Adults,Adults,Reproduction,laying dates; timing of breeding,NA
Smith_et_al_2017,2017,"Avian thermoregulation in the heat: resting metabolism, evaporative cooling and heat tolerance in Sonoran Desert songbirds",10.1242/jeb.161141,Journal of Experimental Biology,Bird,Temperature,Adults,Adults,"Environmental tolerance and preference, Energetics and metabolism",resting metabolic rate; evaporative water loss; body mass; body temperature; heat tolerance limit,NA
McKechnie_et_al_2016,2016,"Avian thermoregulation in the heat: evaporative cooling capacity in an archetypal desert specialist, Burchell's sandgrouse (Pterocles burchelli)",10.1242/jeb.139733,Journal of Experimental Biology,Bird,Temperature,Adults,Adults,"Environmental tolerance and preference, Energetics and metabolism",body temperature; resting metabolic rate; evaporative water loss;,NA
Oyen_and_Dillon_2018,2018,"Critical thermal limits of bumblebees (Bombus impatiens) are marked by stereotypical behaviors and are unchanged by acclimation, age or feeding status",10.1242/jeb.165589,Journal of Experimental Biology,Insect,Temperature,Adults,Adults,"Environmental tolerance and preference, Energetics and metabolism",CTmin; CTmax; core thoracic temperatures; CO2 production;,NA
Baumgart_et_al_2022,2022,Why do ants differ in acclimatory ability? Biophysical mechanisms behind cuticular hydrocarbon acclimation across species,10.1242/jeb.243847,Journal of Experimental Biology,Insect,Temperature,Adults,Adults,Environmental tolerance and preference,drought survival,NA
Brijs_et_al_2015,2015,Experimental manipulations of tissue oxygen supply do not affect warming tolerance of European perch,10.1242/jeb.121889,Journal of Experimental Biology,Fish,"Temperature, O₂/CO₂",Adults,Adults,"Environmental tolerance and preference, Energetics and metabolism, Cardiovascular physiology",standard metabolic rate; maximum metabolic rate; aerobic scope; CTmax; hemoglobin concentration; hematocrit; mean corpuscular haemoglobin concentration,NA
Roussel_et_al_2020,2020,Skeletal muscle metabolism in sea-acclimatized king penguins. I. Thermogenic mechanisms,10.1242/jeb.233668,Journal of Experimental Biology,Bird,Temperature,Larvae or juveniles,Larvae or juveniles,"Environmental tolerance and preference, Energetics and metabolism, Cardiovascular physiology",body temperature; resting metabolic rate; heart rate; electromyogram activity of the pectoral muscle; shivering threshold temperature; lower critical temperature; thermal conductance,NA
Kostal_et_al_2016,2016,Arginine and proline applied as food additives stimulate high freeze tolerance in larvae of Drosophila melanogaster,10.1242/jeb.142158,Journal of Experimental Biology,Insect,"Temperature, Interaction with non-climatic stressor",Larvae or juveniles,"Larvae or juveniles, Adults",Environmental tolerance and preference,survival,NA
Borowiec_et_al_2018,2018,Distinct metabolic adjustments arise from acclimation to constant hypoxia and intermittent hypoxia in estuarine killifish (Fundulus heteroclitus),10.1242/jeb.190900,Journal of Experimental Biology,Fish,O₂/CO₂,Adults,Adults,"Energetics and metabolism, Osmoregulation",metabolic rate; concentration of lactate; tissue metabolites; intracellular pH; HIF-1α protein levels,NA
Drost_et_al_2016,2016,Acclimation potential of Arctic cod (Boreogadus saida) from the rapidly warming Arctic Ocean,10.1242/jeb.140194,Journal of Experimental Biology,Fish,Temperature,Adults,Adults,"Environmental tolerance and preference, Energetics and metabolism, Cardiovascular physiology",Critical thermal maximum; absolute aerobic scope; routine oxygen uptake; maximum oxygen uptake; maximum heart rate;,NA
Loughran_and_Wolf_2020,2020,The functional significance of panting as a mechanism of thermoregulation and its relationship to the critical thermal maxima in lizards,10.1242/jeb.224139,Journal of Experimental Biology,Reptile,Temperature,Adults,Adults,Environmental tolerance and preference,body temperature; CTmax; panting threshold,NA
Visser_et_al_2018,2018,Hormetic benefits of prior anoxia exposure in buffering anoxia stress in a soil-pupating insect,10.1242/jeb.167825,Journal of Experimental Biology,Insect,O₂/CO₂,Larvae or juveniles,"Larvae or juveniles, Adults","Environmental tolerance and preference, Energetics and metabolism, Immune function and stress physiology",survival; fecundity; longevity; lipid peroxidation; total antioxidant capacity; metabolic rates; respiratory exchange ratio;,NA
Marshall_and_Sinclair_2018,2018,"Repeated freezing induces a trade-off between cryoprotection and egg production in the goldenrod gall fly, Eurosta solidaginis",10.1242/jeb.177956,Journal of Experimental Biology,Insect,Temperature,Larvae or juveniles,"Larvae or juveniles, Adults","Environmental tolerance and preference, Reproduction",egg production; survival; supercooling point,NA
Foo_et_al_2018,2018,Cherchez la femme - impact of ocean acidification on the egg jelly coat and attractants for sperm,10.1242/jeb.177188,Journal of Experimental Biology,Other invertebrate,pH,Adults,Embryos,"Reproduction, Development",egg diameter;  sperm velocity; sperm motility,NA
Arcaz_et_al_2016,2016,Desiccation tolerance in Anopheles coluzzii: the effects of spiracle size and cuticular hydrocarbons,10.1242/jeb.135665,Journal of Experimental Biology,Insect,Humidity/Water availability,Adults,Adults,"Environmental tolerance and preference, Osmoregulation",survival;  rate of water loss,NA
Galli_et_al_2013,2013,Beating oxygen: chronic anoxia exposure reduces mitochondrial F1FO-ATPase activity in turtle (Trachemys scripta) heart,10.1242/jeb.087155,Journal of Experimental Biology,Reptile,O₂/CO₂,Adults,Adults,Cardiovascular physiology,heart rate; mitochondrial respiration,NA
Wright_et_al_2014,2014,Rh versus pH: the role of Rhesus glycoproteins in renal ammonia excretion during metabolic acidosis in a freshwater teleost fish,10.1242/jeb.098640,Journal of Experimental Biology,Fish,pH,Adults,Adults,Osmoregulation,Renal excretion rates; urine parameters,NA
Anttila_et_al_2015,2015,Warm acclimation and oxygen depletion induce species-specific responses in salmonids,10.1242/jeb.119115,Journal of Experimental Biology,Fish,"Temperature, O₂/CO₂",Larvae or juveniles,Larvae or juveniles,"Environmental tolerance and preference, Development",CTmax; body mass; hypoxia tolerance; heart morphology,NA
Sandblom_et_al_2016,2016,Cardiac reflexes in awarming world: thermal plasticity of barostatic control and autonomic tones in a temperate fish,10.1242/jeb.140319,Journal of Experimental Biology,Fish,Temperature,Adults,Adults,Cardiovascular physiology,heart rate; ventral aortic blood pressure;,NA
Pepino_et_al_2015,2015,Heat transfer in fish: are short excursions between habitats a thermoregulatory behaviour to exploit resources in an unfavourable thermal environment?,10.1242/jeb.126466,Journal of Experimental Biology,Fish,Temperature,Adults,Adults,Environmental tolerance and preference,body temperature,NA
Vagner_et_al_2019,2019,Ocean warming combined with lower omega-3 nutritional availability impairs the cardio-respiratory function of a marine fish,10.1242/jeb.187179,Journal of Experimental Biology,Fish,"Temperature, Interaction with non-climatic stressor",Larvae or juveniles,Larvae or juveniles,"Energetics and metabolism, Cardiovascular physiology, Development",standard metabolic rate; active metabolic rate; aerobic scope; growth; hematocrit; heart contraction rate,NA
Rudin-Bitterli_et_al_2016,2016,Differences in the timing of cardio-respiratory development determine whether marine gastropod embryos survive or die in hypoxia,10.1242/jeb.134411,Journal of Experimental Biology,Other invertebrate,O₂/CO₂,Embryos,"Embryos, Larvae or juveniles, Adults","Cardiovascular physiology, Development",mortality; hatching success; heart rate,NA
Clark_et_al_2013,2013,Heart rate responses to temperature in free-swimming Pacific bluefin tuna (Thunnus orientalis),10.1242/jeb.086546,Journal of Experimental Biology,Fish,Temperature,Adults,Adults,"Energetics and metabolism, Cardiovascular physiology",visceral temperature; heart rate; oxygen consumption,NA
Chaves_et_al_2023,2023,Energetic costs of bill heat exchange demonstrate contributions to thermoregulation at high temperatures in toco toucans (Ramphastos toco),10.1242/jeb.245268,Journal of Experimental Biology,Bird,Temperature,Adults,Adults,"Environmental tolerance and preference, Energetics and metabolism",body temperature; metabolic rate; lower critical temperature; upper critical temperature; thermal conductance; heat production;,NA
Parkash_and_Ranga_2013,2013,Sex-specific divergence for adaptations to dehydration stress in Drosophila kikkawai,10.1242/jeb.087650,Journal of Experimental Biology,Insect,Humidity/Water availability,"Larvae or juveniles, Adults","Larvae or juveniles, Adults","Environmental tolerance and preference, Osmoregulation",time to lethal dehydration; rate of water loss; energy metabolites;,NA
Little_et_al_2020,2020,Reduced lactate dehydrogenase activity in the heart and suppressed sex hormone levels are associated with female-biased mortality during thermal stress in Pacific salmon,10.1242/jeb.214841,Journal of Experimental Biology,Fish,Temperature,Adults,Adults,"Immune function and stress physiology, Reproduction",sex hormones; oxidative damage; thiobarbituric acid reactive substances; plasma lactate,NA
Udyawer_et_al_2016,2016,Coming up for air: thermal dependence of dive behaviours and metabolism in sea snakes,10.1242/jeb.146571,Journal of Experimental Biology,Reptile,Temperature,Adults,Adults,Energetics and metabolism,oxygen consumption,NA
Troschinski_et_al_2014,2014,Antioxidant defence and stress protein induction following heat stress in the Mediterranean snail Xeropicta derbentina,10.1242/jeb.113167,Journal of Experimental Biology,Other invertebrate,Temperature,Adults,Adults,Immune function and stress physiology,oxidative stress; heat shock proteins; antioxidant enzymes,NA
Sandfoss_et_al_2022,2022,Intraspecific investigation of dehydration-enhanced innate immune performance and endocrine stress response to sublethal dehydration in a semi-aquatic species of pit viper,10.1242/jeb.243894,Journal of Experimental Biology,Reptile,Humidity/Water availability,Adults,Adults,"Osmoregulation, Immune function and stress physiology, Development",body mass; corticosterone; plasma osmolality,NA
Girish_et_al_2018,2018,Heat- and humidity-induced plastic changes in body lipids and starvation resistance in the tropical fly Zaprionus indianus during wet and dry seasons,10.1242/jeb.174482,Journal of Experimental Biology,Insect,"Temperature, Humidity/Water availability",Mix (before and after hatching),Adults,"Environmental tolerance and preference, Reproduction, Development",daily fecundity; body mass; survival,NA
Nyboer_and_Chapman_2017,2017,Elevated temperature and acclimation time affect metabolic performance in the heavily exploited Nile perch of Lake Victoria,10.1242/jeb.163022,Journal of Experimental Biology,Fish,Temperature,Larvae or juveniles,Larvae or juveniles,"Environmental tolerance and preference, Energetics and metabolism, Development",CTmax; standard metabolic rate; maximum metabolic rate; aerobic scope; EPOC; growth rate,NA
Gilbert_et_al_2022,2022,Rapid cardiac thermal acclimation in wild anadromous Arctic char (Salvelinus alpinus),10.1242/jeb.244055,Journal of Experimental Biology,Fish,Temperature,Adults,Adults,Cardiovascular physiology,heart rate; arrhythmia temperature,NA
Laetz_et_al_2024,2024,"Critical thermal maxima and oxygen uptake in Elysia viridis, a sea slug that steals chloroplasts to photosynthesize",10.1242/jeb.246331,Journal of Experimental Biology,Other invertebrate,Temperature,Adults,Adults,"Environmental tolerance and preference, Energetics and metabolism, Development",critical thermal maxima; body mass; oxygen uptake,NA
Dupoue_et_al_2016,2016,Water deprivation increases maternal corticosterone levels and enhances offspring growth in the snake Vipera aspis,10.1242/jeb.132639,Journal of Experimental Biology,Reptile,Humidity/Water availability,Adults,"Larvae or juveniles, Adults","Osmoregulation, Immune function and stress physiology, Development",plasma osmolality; corticosterone; body growth,NA
Muir_et_al_2022,2022,Temperature-dependent plasticity mediates heart morphology and thermal performance of cardiac function in juvenile Atlantic salmon (Salmo salar),10.1242/jeb.244305,Journal of Experimental Biology,Fish,Temperature,Mix (before and after hatching),Larvae or juveniles,"Cardiovascular physiology, Development",body size; heart rate; stroke distance; cardiac output,NA
Segall_et_al_2013,2013,"Impact of temperature on performance in two species of South African dwarf chameleon, Bradypodion pumilum and B. occidentale",10.1242/jeb.092353,Journal of Experimental Biology,Reptile,Temperature,Adults,Adults,Environmental tolerance and preference,thermal preference; CTmax; CTmin,NA
Jimenez_et_al_2020,2020,Consequences of being phenotypically mismatched with the environment: no evidence of oxidative stress in cold- and warm-acclimated birds facing a cold spell,10.1242/jeb.218826,Journal of Experimental Biology,Bird,Temperature,Adults,Adults,Immune function and stress physiology,antioxidant enzyme activity; total antioxidant capacity; lipid peroxidation damage,NA
Reeve_et_al_2022,2022,Inactivity and the passive slowing effect of cold on resting metabolism as the primary drivers of energy savings in overwintering fishes,10.1242/jeb.243407,Journal of Experimental Biology,Fish,Temperature,"Larvae or juveniles, Adults","Larvae or juveniles, Adults",Energetics and metabolism,oxygen consumption rate,NA
Drake_et_al_2017,2017,"The role of stochastic thermal environments in modulating the thermal physiology of an intertidal limpet, Lottia digitalis",10.1242/jeb.159020,Journal of Experimental Biology,Other invertebrate,Temperature,Adults,Adults,"Cardiovascular physiology, Immune function and stress physiology",heart rate; antioxidant enzyme activity,NA
Chadwick_and_McCormick_2017,2017,Upper thermal limits of growth in brook trout and their relationship to stress physiology,10.1242/jeb.161224,Journal of Experimental Biology,Fish,Temperature,Larvae or juveniles,Larvae or juveniles,"Environmental tolerance and preference, Osmoregulation, Immune function and stress physiology",body mass; hematocrit; plasma cortisol; heat shock protein 70; Gill Na+/K+-ATPase activity,NA
Ripley_et_al_2022,2022,Thermal preference does not align with optimal temperature for aerobic scope in zebrafish (Danio rerio),10.1242/jeb.243774,Journal of Experimental Biology,Fish,Temperature,Adults,Adults,"Environmental tolerance and preference, Energetics and metabolism",temperature preference; oxygen consumption;,NA
Gangloff_et_al_2016,2016,Hormonal and metabolic responses to upper temperature extremes in divergent life-history ecotypes of a garter snake,10.1242/jeb.143107,Journal of Experimental Biology,Reptile,Temperature,Adults,Adults,"Environmental tolerance and preference, Energetics and metabolism, Immune function and stress physiology",oxygen consumption; corticosterone; lactate; insuline; glucose,NA
Moran_et_al_2020,2020,Thermal acclimation leads to variable muscle responses in two temperate labrid fishes,10.1242/jeb.235226,Journal of Experimental Biology,Fish,Temperature,Larvae or juveniles,Larvae or juveniles,Energetics and metabolism,oxygen consumption; metabolic enzyme activity,NA
Kivela_et_al_2018,2018,Elucidating mechanisms for insect body size: partial support for the oxygen-dependent induction of moulting hypothesis,10.1242/jeb.166157,Journal of Experimental Biology,Insect,"Temperature, O₂/CO₂",Larvae or juveniles,Larvae or juveniles,Development,body mass; growth rate,NA
Cook_et_al_2013,2013,Low-O2 acclimation shifts the hypoxia avoidance behaviour of snapper (Pagrus auratus) with only subtle changes in aerobic and anaerobic function,10.1242/jeb.073023,Journal of Experimental Biology,Fish,O₂/CO₂,Larvae or juveniles,Larvae or juveniles,"Energetics and metabolism, Cardiovascular physiology",oxygen consumption; mitochondrial respiration; haemoglobin–oxygen binding properties; metabolic enzyme activity,NA
